#Label name	Characters involved	Description	Hint
sabiafirstbj	Sabia	Sabia's first blowjob in the tents.	Work at tents before the trial.
sabiatent1	Sabia	Inexperienced blowjob.	Work at tents before the trial.
sabiatent2	Sabia	Inexperienced blowjob after Neve's advice.	Work at tents before the trial after obtaining Neve's advice.
sabiatent3	Sabia	Experienced blowjob.	Work enough times at tents before the trial.
sabiatent4	Sabia	Experienced blowjob after Neve's advice.	Work enough times at tents before the trial after obtaining Neve's advice.
neveorctravelers	Neve	Neve has threesome with two orc travelers.	Run an errand for Dajrab before the trial.
tekrokcrew1	Sabia	Sabia has sex with Tekrok's men in her barmaid uniform.	Tekrok's path. Agree to go to the tents with his men.
tekrokcrew2	Sabia	Sabia has sex with Tekrok's men in her slave outfit.	Tekrok's path. Agree to go to the tents with his men.
lutvrogscene	Sabia, Lutvrog	Sabia and Lutvrog have sex after their sparring match.	Beat Lutvrog in a sparring match.
badendorctent	Sabia	Bad End: Sabia falls victim to the shaman's drugs.	Bad End: Accept the Shaman's help after failing the membership ritual.
badendorctrial	Sabia	Bad End: Sabia enrages the Warchief during the trial.	Bad End: Disrespect Groknak as much as possible during the trial.
lynnintroscene	Lynn	Lynn persuades a soldier.	Automatically obtained during story progression.
nevemaply1	Maply, Neve	Neve interrogates Maply.	Ask for Neve's help to interrogate Maply.
orcmaply1	Maply	An orc interrogates Maply.	Ask for the orc at central camp help to interrogate Maply.
sabiabargrope1	Sabia	Sabia endures the groping of a group of rowdy orcs.	Work at the bar and serve them drinks.
sabiabargrope2	Sabia	Sabia endures the groping of a group of rowdy orcs again.	Work at the bar and serve them drinks.
sabiabargrope3	Sabia	Sabia endures the groping of a group of rowdy orcs one more time.	Work at the bar and serve them drinks.
sabiabargrope4	Sabia	Sabia endures the groping of a group of rowdy orcs and gives them a happy ending.	Work at the bar and serve them drinks.
catgirls1punishment	Catgirls	A catgirl leader is made into an example.	Go with Tekrok's plan after solving the catgirl raid quest.
catgirls1working	Catgirls	The catgirls are made to work off their debt in the tents.	Go with Rokgrid's plan after solving the catgirl raid quest.
catgirls1enslaved	Catgirls	Sabia enslaves the catgirls in the tents.	Enslave the catgirls after solving the catgirl raid quest.
barrinintscenedom	Sabia, Misc	Sabia has sex with Barrin for information (dom version).	Interrogate Barrin after picking dom options during the quest.
barrinintscenesub	Sabia, Misc	Sabia has sex with Barrin for information (sub version).	Interrogate Barrin after picking sub options during the quest.
vehlisaliochA	Vehlis, Misc	Vehlis enjoys her elven slave.	Automatically obtained during story progression.
nevealiochsabia	Sabia, Neve, Misc	Neve and Sabia have a threesome with Vehlis' slave.	Solo Sabia or Dajrab's path. Agree with Neve's idea when you meet Alioch during the feast.
HGNtekrokscene	Sabia	Sabia performs a somewhat sacred ceremony during the Horned God's Night.	Tekrok's path. Automatically obtained during story progression.
HGNdajrabscene	Sabia	Sabia performs a sacred ceremony during the Horned God's Night.	Dajrab's path. Agree to do the ritual dance.
badendmurdertrial	Sabia	Bad End: The shamans use Sabia as a breeder after she is declared a murderer.	Bad End: Requires killing the orc gropers. Fail during the murder investigation.
HGNelmysceneA	Elmy	The enslaved Elmy is used to bribe an orc.	Requires enslaved catgirls. Requires killing the orc gropers. Use Elmy to bribe a witness during the murder investigation.
HGNelmysceneB	Elmy	Elmy works cocks during the Horned God's Night.	Rokgrid's path. Requires non-enslaved catgirls. Automatically obtained during story progression if conditions are met.
hellhoundsabiaA	Sabia	Sabia tames a hellhound.	Requires sub >= 2. Requires having worked at the tents 3 or more times. Pick the submission option to pacify the hellhound during the Red God's Arena.
RGAvehlissex	Sabia, Vehlis	Vehlis needs some help testing out sex toys.	Requires dom >= 10. Requires Vehlis affection >= 5. See where things go when you meet Vehlis during the Red God's Arena.
RGAdisqualification1	Sabia	Sabia bribes the arena guard for another chance.	Requires sub >= 3. Requires having worked at the tents 3 or more times. Lose during the Red God's Arena qualification round and bribe the guard for another chance.
RGAdisqualification2	Sabia	Sabia bribes the arena guard for another chance again.	Requires the previous scene. Lose during the Red God's Arena qualification round and bribe the guard for another chance again.
RGAdisqualification3	Sabia	Sabia bribes the arena guard for another chance yet again.	Requires the previous scene. Lose during the Red God's Arena qualification round and bribe the guard for another chance yet again.
RGAnevelutvrogS	Sabia, Neve, Lutvrog	After training, Neve and Lutvrog have a threesome with Sabia (sub version).	Requires not having tortured Maply. Complete the individual training with both Lutvrog and Neve during the Red God's Arena and then train with both of them.
RGAnevelutvrogD	Sabia, Neve, Lutvrog	After training, Neve and Lutvrog have a threesome with Sabia (dom version).	Requires not having tortured Maply. Requires dom >=10. Complete the individual training with both Lutvrog and Neve during the Red God's Arena and then train with both of them.
RGAlastsceneintro	Misc	The story of Ellia's life.	Automatically obtained during story progression.
RGAlastscene	Tyra	Tyra uses her power on a captive minotaur and elf.	Automatically obtained during story progression.
RokgridSabiaA	Sabia, Rokgrid	Rokgrid and Sabia have a steamy encounter.	Rokgrid's path. Requires success during Rokgrid's raid missions.
RokgridSabiaB	Sabia, Rokgrid	Rokgrid takes charge with Sabia.	Requires the previous scene. Allow Rokgrid to take the lead.
RokgridSabiaC	Sabia, Rokgrid	Sabia takes charge with Rokgrid.	Requires the previous scene. Take the lead yourself.
TekrokSabiaSub	Sabia, Tekrok	Sabia submits to Tekrok's lusts.	Tekrok's path. Requires sub >= 5. Requires success during Tekrok's raid missions.
TekrokSabiaDom	Sabia, Tekrok	A battle of wills between Tekrok and Sabia.	Tekrok's path. Requires dom >= 5. Requires success during Tekrok's raid missions.
raidquestbribery	Sabia	Sabia uses her body to pay off agents in the orc camp.	Requires sub >= 20. Bribe the orc blocking your troops from training.
nevemaplyA	Neve, Maply	Neve guides Maply through pleasuring her.	Requires using Neve to interrogate Maply previously. Requires not having tortured Maply.
kiasabiaFg	Sabia, Kia	Kia Sabia mate! (futa version, gentle)	Requires not hurting Kia during the arena. Requires Kia affection >= 5.
kiasabiaFr	Sabia, Kia	Kia Sabia mate! (futa version, rough)	Requires hurting Kia during the arena. Requires Kia affection >= 5.
kiasabiaYg	Sabia, Kia	Kia Sabia mate! (yuri version, gentle)	Requires not hurting Kia during the arena. Requires Kia affection >= 5.
kiasabiaYr	Sabia, Kia	Kia Sabia mate! (yuri version, rough)	Requires hurting Kia during the arena. Requires Kia affection >= 5.
SUtentaclesex1	Sabia,Neve	Sabia and Neve have a fleeting encounter with a tentacle monster.	Automatically obtained during story progression.
SUtentaclesex2	Sabia,Neve	Sabia and Neve convince the tentacle monster to stick around.	Requires joining Neve to go meet the tentacle.
SUkiaylvasexF	Ylva,Kia	Kia and Ylva mate. (futa version)	Automatically obtained during story progression.
SUkiaylvasexY	Ylva,Kia	Kia and Ylva mate. (yuri version)	Automatically obtained during story progression.
LutvrogTitfuck	Sabia,Lutvrog	Sabia performs a titfuck on Lutvrog.	Requires having done his scene after the sparring match. Automatically happens during Kentark training.
SUelmypokersex	Elmy	Elmy is used as a reward for Sabia's orcs.	Requires enslaved catgirls. Use Elmy as a reward to motivate your troops.
MaplyHellhound	Maply	Maply helps tame a hellhound.	Automatically obtained during story progression.
merchant_good_end	Sabia	Sabia manages to convince two travelling merchants.	Obtained during the merchants' quest. Succeed at convincing them that you are a travelling merchant.
merchant_bad_end	Sabia	Sabia fails to convince two travelling merchants.	Bad End: Obtained during the merchants' quest. Fail to convince them that you are a travelling merchant.
neve_bandits_live	Neve	Neve distracts two guards while Sabia snoops around.	Successfully put together the bandits' orders and watch Neve distracting the bandits.
neve_bandits_kill	Neve	Neve distracts two guards while Sabia tries to snoop around but gets caught.	Fail at putting together the bandits' orders.
orc_bandits	Sabia	Sabia gets caught by Orc Bandits.	Fail at putting together the bandits' orders.
human_bandits	Sabia	Sabia gets caught by Human Bandits.	Bad End: Requires you to fail to acquire the letter from the merchants during a previous quest. One of the possible bad ends when trying to infiltrate the bandits' camp without Neve.
mino_badend	Sabia	Sabia gets caught by the Minotaur bandit.	Bad End: One of the possible bad ends when trying to infiltrate the bandits' camp without Neve.
bandit_ultimate_bad_end	Sabia	Sabia's ultimate fate after getting caught.	Bad End: Sabia's ultimate fate after one of the previous bad ends.
neve_sabia_dance_dom	Sabia	Sabia gets dancing lessons from Neve (dom version).	Sabia practicing dancing. Requires dom higher than sub.
neve_sabia_dance_sub	Sabia	Sabia gets dancing lessons from Neve (sub version).	Sabia practicing dancing. Requires sub higher than dom.
ba_ashi_party_dom	Sabia	The mysterious dancer does her performance for the grand reopening of the tents (dom version).	Dancing event. Requires dom higher than sub.
ba_ashi_party_sub	Sabia	The mysterious dancer does her performance for the grand reopening of the tents (sub version).	Dancing event. Requires sub higher than dom.
sabia_fluff_tooth	Sabia, Misc	Sabia gets stuck on the wall while trying to sneak out of the kennels.	Quickly jump through the wall hole when the kennelmaster approaches.	
rokgrid_contact_scene_dom	Sabia	Sabia finds a way to clear Rokgrid's debt with his contact (dom version).	Rokgrid's path. Requires dom higher than sub.
rokgrid_contact_scene_sub	Sabia	Sabia finds a way to clear Rokgrid's debt with his contact (sub version).	Rokgrid's path. Requires sub higher than dom.
veteran_orcs_help	Sabia	Sabia has to recruit the help of Tekrok's veteran orcs after failing a mission.	Tekrok's path. Fail the initial attempt at poisoning Knorgath.
drunk_orcs_help	Sabia	Sabia has to recruit the help of Tekrok's drunk orcs after failing a mission.	Tekrok's path. Fail the initial attempt at poisoning Knorgath.
sober_orcs_help	Sabia	Sabia has to recruit the help of Tekrok's sober orcs after failing a mission.	Tekrok's path. Fail the initial attempt at poisoning Knorgath.
tekrok_orcs_final	Sabia	After finally succeeding with the help of Tekrok's men, Sabia has to pay them all over again.	Tekrok's path. Fail the initial attempt at poisoning Knorgath.
kira_bandits_badend	Sabia,Kira	Sabia fails at joining the bandit camp under Kira's command.	Bad End: Fail during Kira's test of cunning or submit yourself to her.
chufkhunt_kia	Sabia,Kia	Sabia is thrown to the tentacles by Kia during their chufk hunt.	Requires not having used the makhor poison during the Red God's Arena. Don't accept Kia's idea when hunting for the tentacle.
chufkhunt_nokia	Sabia	Sabia willingly goes down the cave to serve as a bait for the tentacle during their chufk hunt.	Accept Kia's idea when hunting for the tentacle.
mariana_quest_interrogation	Sabia,Neve,Misc	Sabia and Neve display their interrogation methods on a captured bandit.	Solo Sabia or Dajrab's path.
ba_ashi_soldier_dom_scene	Sabia	Ba Ashi calls a misbehaving soldier up to the stage during a performance (dom version).	Requires dom higher than sub.
ba_ashi_soldier_sub_scene	Sabia	Ba Ashi calls a misbehaving soldier up to the stage during a performance (sub version).	Requires sub higher than dom.
avion_ritual	Sabia, Avion	Avion's ritual to break Sabia's spirit (dom version).	Sabia needs to replace Avion's "prize".
avion_ritual_rough	Sabia, Avion	Avion's ritual to break Sabia's spirit (sub version).	Sabia needs to replace Avion's "prize".
living_vessel_ritual	Sabia 	Sabia needs to play the role of a vessel during a ritual to cleanse the tribe of impurities.	Sabia needs to have sided with Ornshakar.
cum_drinking_bet	Sabia 	Sabia learns to never gamble with cheating orcs again.	Requires sub. Keep betting with the orcs.
v10shaman_ritual	Sabia 	Sabia needs to help Ornshakar with another questionable ritual.	Sabia needs to have sided with Ornshakar.
v10camp_badend	Sabia 	Sabia tries and fails to play the hero.	Tekrok's path. Fail to obtain enough trust from Grak's camp.
v10neve_scene	Sabia,Neve 	Neve starts ordering Sabia around.	Requires Sub. Keep drinking with Neve at the bar.
v10neve_scene_dom	Sabia,Neve 	Sabia decides to indulge Neve and roleplays her pet.	Requires Dom. Keep drinking with Neve at the bar.
v10ranak_cowgirl	Sabia 	Sabia uses Ranak to sate her needs.	Requires Dom. Rescue Ranak from prison.
v10ranak_mating_press	Sabia 	Ranak uses Sabia to sate his needs.	Requires Sub. Rescue Ranak from prison.
v10ranak_standing	Sabia 	Ranak uses Sabia to sate his needs.	Requires Sub. Rescue Ranak from prison.
v10ranak_bent	Sabia 	Ranak uses Sabia to sate his needs.	Requires Sub. Rescue Ranak from prison.
v10orcs_dp	Sabia 	Sabia uses the orcs to sate her needs.	Requires Dom. Rescue the orcs from prison.
v10orcs_doublestand	Sabia 	The orcs use Sabia to sate their needs.	Requires Sub. Rescue the orcs from prison.
v10orcs_dp_sub	Sabia 	The orcs use Sabia to sate their needs.	Requires Sub. Rescue the orcs from prison.
v10orcs_spitroast	Sabia 	The orcs use Sabia to sate their needs.	Requires Sub. Rescue the orcs from prison.